name,prompt,negative_prompt
人物|着装,"",
女神装扮*,"white,clothes, thin gown, goddess crown, royal, divine, goddess, beautiful clothes, lace, Lace panties, miniskirt, lace trim, lace-trimmed ,ribbon, legwear, (rich:0.6), luxury, jewelry, hair ornament, necklace, earrings, bracelet, armlet, goddess dress",
浴袍*,"bathrobe,robe",
机器人*,"complex 3d render ultra detailed of a beautiful porcelain profile woman android face, (cyborg:1.3), (robotic parts:1.3),(hyperrealistic),(cable electric wires), (microchip), 150 mm vibrant details, anatomical, elegant, beautiful background, an extremely delicate and beautiful,Amazing,official art,robot",
女仆装*,"maid headdress,maid apron,",
兔女郎*,"rabbit ears,pantyhose,wrap hip fishnet pantyhose, whip,detached collar, playboy bunny, bow, bowtie,leotard, bare shoulders",
兔女郎2*,"adorned with a stunning outfit featuring a (cutout above navel:1.3),((captivating bunny girl)), dressed in a form-fitting and alluring bodysuit, complete with a bunny tail, ears, and high heels",
魅魔*,"succubus,Female demons, demon wings,demon tail, demon horns, pointed horns",
黑色蕾丝*,"black-bra,black panties,stocking,lace,underwear only,see-through,thong",
护士装*,"nurse, nurse cap, hat,clothes lift,shirt lift, pasties,hetero, red cross",
瑜伽套装*,"yoga pants,shirt,sports bra,",
领带套装*,"pantyhose, necktie,skirt, sleeveless, bare shoulders,dress, shirt, pencil skirt",
无袖装*,"sleeveless, shirt, sleeveless shirt, underwear, white shirt, panties, black skirt, pencil skirt,miniskirt, bare shoulders, contrapposto, watch,wristband, collared shirt, wristwatch, high-waist skirt",
和服*,"japanese clothes,naked kimono, bare shoulders",
旗袍*,"cheongsam,chinese clothes,dress",
高腰紧身衣*,"bare hips,short sleeves,puffy sleeves,highleg, white leotard,highleg leotard",
乳胶紧身衣*," shiny clothes,latex",
内衣," underwear,lingerie",
渔网袜,"fishnets,fishnet thighhighs,thighhighs,bridal garter, garter straps, skirt,pasties",
短裙,"micro skirt,mini skirt",
人物|着装|调教*,"",
领带,"collar",
施虐狂,"((dominatrix)),bdsm",
束缚装,"((bondage outfit))",
渔网高脚袜,"fishnet thighhighs",
吊袜带吊袜腰带,"garter straps,garter belt",
独立袖子,"detached sleeves",
握着鞭子,"((holding whip))",
人物|着装|品质,"",
战损,"messy clothes,torn clothes",
华丽的,"luxury,gorgeous",
人物|头部,"",
动物耳朵,"animal ears,cat ears,animal ear fluff",
发饰,"hair ornament,hairpin",
皇冠,"crown",
头顶耳朵,"skull earrings",
口罩,"mouth mask",
遮阳帽,"visor",
人物|头部|脸部|眼睛,"",
紫眼,purple heart shaped eyes,
多彩眼睛,"multicolored eye",
发光瞳孔,"glowing pupils",
流泪,"cry,tears",
闭眼,"closed eyes",
人物|头部|脸部|嘴巴,"",
闭嘴,"closed mouth",
张嘴,"open mouth",
吐舌头,"tongue out",
流口水,"drooling down",
人物|头部|脸部|表情,"",
高潮脸*,ahegao,
乞求*,"begging face",
微笑*,"smile,seductive smile",
自信诱人的表情,"confident and seductive expression",
脸红,"blush",
唾液,saliva,
人物|身体,"",
锁骨,callarbone,
漏肩,"bare arms",
深v,"cleavage cutout",
漏点,"puffy nipples,large areolae",
肚脐,"navel",
腋,"armpits",
人物|化妆,"",
化妆,"makeup",
眼影 眼线,"(eyeshadow:1.2) and (red eyeliner:1.1)",
脸部高光,"face highlight",
口红,"parted lips, lipstick,",
指甲油,"nail polish",
人物|饰品,"",
靴子," boots,thigh boots",
珠宝,"jewelry,diamond, gold, pearl, gem, sapphire, ruby, emerald, earrings,(chocker:0.8),(necklace:0.8),(bracelet:0.6)",
耳钉,"industrial piercing",
扇子,"hand fan,folding fan,holding fan",
行李箱,"suitcase",
人物|关系描述,"",
随机玩具,"(Mouth balls:0.4),(marble toy:0.4),(sex toy:0.4)",
jyj,"stout dildo,sex toy",
pull,"clothes pull, bra pull",
抓腰,"((torso grab))",
抓屁股,"((ass grab))",
抓,collared,
下流行为,indecency,
泌乳,lactation,
